Temp,Humd,Label
143.0,402.0,0
360.0,901.0,0
360.0,901.0,0
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
143.0,402.0,0
54.0,402.0,0
360.0,901.0,0
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,43.0,1
26.0,45.0,1
26.0,52.0,1
26.0,55.0,1
360.0,402.0,0
54.0,901.0,0
26.0,61.0,1
27.0,64.0,1
27.0,72.0,1
27.0,73.0,1
28.0,75.0,1
28.0,76.0,1
28.0,76.0,1
28.0,68.0,1
29.0,66.0,1
29.0,61.0,1
29.0,59.0,1
29.0,55.0,1
29.0,53.0,1
28.0,50.0,1
28.0,48.0,1
28.0,46.0,1
28.0,45.0,1
28.0,43.0,1
